exp_id,(match_percentage) for 1/30/2025,(match_percentage) for 2/18/2025,(match_percentage) for 2/5/2025,UniqueConcatenate(Protocol)
201429,90,87,96,Affinity_Wilmington
201525,82,68,95,Affinity_Wilmington
201616,91,88,96,Affinity_Wilmington
201618,85,76,90,Affinity_Wilmington
201637,82,74,96,Affinity_Wilmington
201640,82,74,96,Affinity_Wilmington
201649,84,79,95,Affinity_Wilmington
201650,89,86,96,Affinity_Wilmington
201663,81,67,92,Affinity_Wilmington
201670,77,66,76,Affinity_Wilmington
201728,81,59,68,Affinity_Wilmington
201729,86,70,96,Affinity_Wilmington
201730,82,76,96,Affinity_Wilmington
201731,82,62,96,Affinity_Wilmington
201732,91,19,96,Affinity_Wilmington
201738,92,87,96,Affinity_Wilmington
201739,83,77,95,Affinity_Wilmington
201740,82,76,96,Affinity_Wilmington
201743,83,69,93,Affinity_Wilmington
201768,90,87,96,Affinity_Wilmington
201801,81,49,93,Affinity_Wilmington
201832,90,81,96,Affinity_Wilmington
201833,90,82,96,Affinity_Wilmington
201837,87,76,96,Affinity_Wilmington
201843,91,83,96,Affinity_Wilmington
201847,75,55,95,Affinity_Wilmington
201855,79,63,95,Affinity_Wilmington
201856,85,70,96,Affinity_Wilmington
201857,83,55,96,Affinity_Wilmington
201859,90,87,83,Affinity_Wilmington
201885,84,70,93,Affinity_Wilmington
201898,84,74,96,Affinity_Wilmington
201925,81,68,93,Affinity_Wilmington
201987,90,79,93,Affinity_Wilmington
202007,85,78,95,Affinity_Wilmington
202020,85,56,95,Affinity_Wilmington
202034,86,59,92,Affinity_Wilmington
202035,75,55,93,Affinity_Wilmington
202040,86,80,96,Affinity_Wilmington
202044,87,81,93,Affinity_Wilmington
202049,85,77,96,Affinity_Wilmington
202051,81,59,95,Affinity_Wilmington
202055,89,76,95,Affinity_Wilmington
202057,92,87,96,Affinity_Wilmington
202058,81,76,96,Affinity_Wilmington
202128,83,72,94,Affinity_Wilmington
202135,83,56,95,Affinity_Wilmington
202190,90,75,95,Affinity_Wilmington
202194,88,15,96,Affinity_Wilmington
202247,79,74,82,Affinity_Wilmington
202249,84,43,96,Affinity_Wilmington
202389,80,65,79,Affinity_Wilmington
202397,84,65,74,Affinity_Wilmington
202400,63,59,91,Affinity_Wilmington
202412,88,80,88,Affinity_Wilmington
202416,85,80,95,Affinity_Wilmington
202417,81,76,95,Affinity_Wilmington
202418,88,83,95,Affinity_Wilmington
202420,85,69,84,Affinity_Wilmington
202421,82,68,94,Affinity_Wilmington
202427,82,77,95,Affinity_Wilmington
202428,81,76,95,Affinity_Wilmington
202435,84,73,96,Affinity_Wilmington
202462,83,31,94,Affinity_Wilmington
202474,87,74,94,Affinity_Wilmington
202496,76,56,92,Affinity_Wilmington
202510,84,79,93,Affinity_Wilmington
202529,86,76,96,Affinity_Wilmington
202533,88,75,95,Affinity_Wilmington
202572,89,79,89,Affinity_Wilmington
202577,79,51,90,Affinity_Wilmington
202578,81,57,82,Affinity_Wilmington
202601,49,51,95,Affinity_Wilmington
202610,84,80,94,Affinity_Wilmington
202611,84,77,94,Affinity_Wilmington
202612,85,76,93,Affinity_Wilmington
202660,85,78,95,Affinity_Wilmington
202679,86,73,92,Affinity_Wilmington
202720,84,76,91,Affinity_Wilmington
202721,84,77,94,Affinity_Wilmington
202738,80,56,91,Affinity_Wilmington
202794,86,67,86,Affinity_Wilmington
202796,82,49,80,Affinity_Wilmington
202819,86,59,94,Affinity_Wilmington
202849,91,13,93,Affinity_Wilmington
202852,85,80,95,Affinity_Wilmington
202853,88,71,96,Affinity_Wilmington
202854,87,50,96,Affinity_Wilmington
202855,80,65,92,Affinity_Wilmington
202900,87,81,96,Affinity_Wilmington
202906,77,65,93,Affinity_Wilmington
202919,82,23,96,Affinity_Wilmington
202931,82,17,94,Affinity_Wilmington
202940,83,77,96,Affinity_Wilmington
202941,70,57,94,Affinity_Wilmington
202942,76,59,96,Affinity_Wilmington
202943,78,67,95,Affinity_Wilmington
202944,86,69,95,Affinity_Wilmington
202946,88,66,95,Affinity_Wilmington
202947,80,65,93,Affinity_Wilmington
202949,89,31,63,Affinity_Wilmington
202950,85,78,87,Affinity_Wilmington
202951,81,75,96,Affinity_Wilmington
202955,81,70,95,Affinity_Wilmington
202966,69,29,95,Affinity_Wilmington
202978,81,75,75,Affinity_Wilmington
202981,87,75,92,Affinity_Wilmington
202983,92,79,89,Affinity_Wilmington
203002,85,76,96,Affinity_Wilmington
203014,79,53,95,Affinity_Wilmington
203022,83,57,93,Affinity_Wilmington
203087,47,84,95,Affinity_Wilmington
203094,83,61,95,Affinity_Wilmington
203095,87,81,95,Affinity_Wilmington
203096,90,85,94,Affinity_Wilmington
203098,84,75,95,Affinity_Wilmington
203099,83,75,94,Affinity_Wilmington
203101,86,80,95,Affinity_Wilmington
203103,82,77,96,Affinity_Wilmington
203106,92,87,94,Affinity_Wilmington
203111,91,68,81,Affinity_Wilmington
203115,87,83,96,Affinity_Wilmington
203118,91,87,96,Affinity_Wilmington
203120,91,88,96,Affinity_Wilmington
203181,78,71,96,Affinity_Wilmington
203182,77,70,96,Affinity_Wilmington
203234,88,84,96,Affinity_Wilmington
203264,74,73,92,Affinity_Wilmington
203273,85,80,96,Affinity_Wilmington
203342,85,76,96,Affinity_Wilmington
203397,81,75,96,Affinity_Wilmington
203402,83,53,95,Affinity_Wilmington
203411,89,66,95,Affinity_Wilmington
203420,87,81,95,Affinity_Wilmington
203427,69,60,94,Affinity_Wilmington
203466,86,58,83,Affinity_Wilmington
203467,80,38,83,Affinity_Wilmington
203479,88,84,96,Affinity_Wilmington
203495,83,78,95,Affinity_Wilmington
